"filename", "language", "Python", "Batch", "Markdown", "TypeScript", "JSON with Comments", "JavaScript", "Ini", "HTML", "JSON", "pip requirements", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\黄锦意\Desktop\demo02\backend\engine\game_state.py", "Python", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 197
"c:\Users\黄锦意\Desktop\demo02\backend\engine\investigation_rewards.py", "Python", 864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63, 932
"c:\Users\黄锦意\Desktop\demo02\backend\engine\rules_dnd.py", "Python", 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 63, 418
"c:\Users\黄锦意\Desktop\demo02\backend\engine\state_directives.py", "Python", 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 70, 434
"c:\Users\黄锦意\Desktop\demo02\backend\engine\tavern_dice_poker.py", "Python", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 35, 286
"c:\Users\黄锦意\Desktop\demo02\backend\engine\trust_system.py", "Python", 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44, 356
"c:\Users\黄锦意\Desktop\demo02\backend\kp\dm_service.py", "Python", 1006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 55, 1310
"c:\Users\黄锦意\Desktop\demo02\backend\kp\memory.py", "Python", 602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 101, 748
"c:\Users\黄锦意\Desktop\demo02\backend\kp\prompt_builder_dnd.py", "Python", 835, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 54, 941
"c:\Users\黄锦意\Desktop\demo02\backend\logger.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 87
"c:\Users\黄锦意\Desktop\demo02\backend\main.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 65
"c:\Users\黄锦意\Desktop\demo02\backend\pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\黄锦意\Desktop\demo02\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 8, 7, 24
"c:\Users\黄锦意\Desktop\demo02\backend\scripts\process_sprite.py", "Python", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 21, 178
"c:\Users\黄锦意\Desktop\demo02\backend\tests\test_battle_dice_events.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 64
"c:\Users\黄锦意\Desktop\demo02\backend\tests\test_battle_engine_ai.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 41
"c:\Users\黄锦意\Desktop\demo02\backend\tests\test_investigation_rewards.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 124
"c:\Users\黄锦意\Desktop\demo02\backend\tests\test_p1_contracts.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\Users\黄锦意\Desktop\demo02\backend\tests\test_p2_contracts.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"c:\Users\黄锦意\Desktop\demo02\backend\tests\test_routes_dnd_fallback.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 68
"c:\Users\黄锦意\Desktop\demo02\backend\tests\test_rules_dnd.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 91
"c:\Users\黄锦意\Desktop\demo02\backend\tests\test_state_directives.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 45
"c:\Users\黄锦意\Desktop\demo02\brock_drinking_game.md", "Markdown", 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 442
"c:\Users\黄锦意\Desktop\demo02\docs\P0_ARCHITECTURE_MIGRATION.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"c:\Users\黄锦意\Desktop\demo02\docs\P1_ARCHITECTURE_AUDIT.md", "Markdown", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 186
"c:\Users\黄锦意\Desktop\demo02\documents\AI控制的伙伴信任值机制设计与实现提示词.md", "Markdown", 0, 0, 870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 299, 1169
"c:\Users\黄锦意\Desktop\demo02\documents\AI跑团大图标背包弹窗系统设计.md", "Markdown", 0, 0, 815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 1012
"c:\Users\黄锦意\Desktop\demo02\documents\AI跑团行动检定与调查档案系统设计.md", "Markdown", 0, 0, 641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 791
"c:\Users\黄锦意\Desktop\demo02\documents\AI跑团项目_Codex自动对照审计清单.md", "Markdown", 0, 0, 1084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 347, 1431
"c:\Users\黄锦意\Desktop\demo02\documents\AI跑团项目_P1架构整改任务总清单.md", "Markdown", 0, 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 305, 1309
"c:\Users\黄锦意\Desktop\demo02\documents\AI跑团项目_P2架构整改与工程化任务总清单.md", "Markdown", 0, 0, 932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 299, 1231
"c:\Users\黄锦意\Desktop\demo02\documents\AI跑团项目_当前架构审计报告.md", "Markdown", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 297
"c:\Users\黄锦意\Desktop\demo02\documents\AI跑团项目_重构流程清单_按优先级排序版.md", "Markdown", 0, 0, 1119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 341, 1460
"c:\Users\黄锦意\Desktop\demo02\documents\P1-1A_DiceEvent_EventEnvelope_最小闭环任务说明.md", "Markdown", 0, 0, 557, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 740
"c:\Users\黄锦意\Desktop\demo02\documents\earth_gate_after_blue_shoal_full_rewrite.md", "Markdown", 0, 0, 1302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 887, 2189
"c:\Users\黄锦意\Desktop\demo02\documents\earth_gate_after_blue_shoal_stage_detail_codex_patch.md", "Markdown", 0, 0, 1641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 894, 2535
"c:\Users\黄锦意\Desktop\demo02\documents\earth_gate_laine_story_and_four_endings_patch.md", "Markdown", 0, 0, 522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 716
"c:\Users\黄锦意\Desktop\demo02\documents\earth_gate_story_expansion_codex_spec.md", "Markdown", 0, 0, 1597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 554, 2151
"c:\Users\黄锦意\Desktop\demo02\documents\reroll_mechanism_codex.md", "Markdown", 0, 0, 514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 673
"c:\Users\黄锦意\Desktop\demo02\documents\冒险者流派替换职业_Codex实现说明.md", "Markdown", 0, 0, 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 665
"c:\Users\黄锦意\Desktop\demo02\documents\情报档案数据库.md", "Markdown", 0, 0, 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 321, 839
"c:\Users\黄锦意\Desktop\demo02\documents\玩家攻略-地心之门.md", "Markdown", 0, 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 536
"c:\Users\黄锦意\Desktop\demo02\documents\第一幕后半段主线支线多结局编程版.md", "Markdown", 0, 0, 1129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 1289
"c:\Users\黄锦意\Desktop\demo02\documents\蓝伞浅滩后_道具档案线索与图标清单.md", "Markdown", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 117
"c:\Users\黄锦意\Desktop\demo02\documents\蓝伞浅滩战后至第一幕结束_Codex实现说明.md", "Markdown", 0, 0, 1283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 494, 1777
"c:\Users\黄锦意\Desktop\demo02\documents\重要战斗遭遇流程统一规范_Codex实现说明.md", "Markdown", 0, 0, 544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 717
"c:\Users\黄锦意\Desktop\demo02\fix_all_quotes.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 84
"c:\Users\黄锦意\Desktop\demo02\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\黄锦意\Desktop\demo02\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 3197, 0, 0, 0, 0, 0, 1, 3198
"c:\Users\黄锦意\Desktop\demo02\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"c:\Users\黄锦意\Desktop\demo02\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\黄锦意\Desktop\demo02\frontend\public\assets\characters\npc\default.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\黄锦意\Desktop\demo02\frontend\public\d20.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\黄锦意\Desktop\demo02\frontend\scripts\buildGalleryManifest.mjs", "JavaScript", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 14, 117
"c:\Users\黄锦意\Desktop\demo02\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4882, 0, 103, 413, 5398
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\ActionPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 5, 64
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\ApothecaryShop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 20, 246
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\BargainTestScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 347, 0, 13, 34, 394
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\BattlePrepPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266, 0, 3, 21, 290
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\BattleTestScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1627, 0, 46, 165, 1838
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\CharacterPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 15, 172
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\CompanionEventTestScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 608, 0, 5, 51, 664
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\DialogueLog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 5, 10, 114
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\DicePokerGame.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 32, 26, 330
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\DiceRollOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 905, 0, 29, 71, 1005
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\DrinkingDiceGame.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 517, 0, 2, 44, 563
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\EventFeed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\InventoryPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 582, 0, 0, 41, 623
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\LoadGameScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 4, 57
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\LoadingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
